时间戳记	省份	城市	区县	学校名称	年级	每周在校学习小时数	每月假期天数	寒假放假天数	24年学生自杀数	上学时间	放学时间 含晚自习	寒假补课收费总价格	学生的评论
2025-2-4 上午01:35:55	湖南	永州市	冷水滩区	永州市第四中学	14	107	0	3	3	上午06:50:00	下午10:40:00	0	
2025-2-2 下午05:55:59	湖南	永州市	祁阳县	祁阳一中	12	96	3	9	4	上午07:10:00	下午09:50:00	1500	
2025-2-3 下午07:22:23	湖南	湘西土家族苗族自治州	保靖县	保靖县民族中学	12	126	5	12	4	上午06:30:00	下午10:30:00	15000	一锅老鼠屎没有一滴汤
2025-2-2 下午11:30:14	湖南	益阳市	赫山区	益阳市箴言中学	12	160	2.5	10	5	上午06:30:00	下午10:15:00	3500	
2025-2-3 下午07:29:36	湖南	湘西土家族苗族自治州	保靖县	保靖县思源实验学校	12	180	5	12	7	上午06:30:00	下午11:30:00	20000	喜欢我把成绩好的学生放在差班拉平差距然后被烂人挤兑影响心态导致学习效率下降还要反过来指责学生保靖民中教育集团吗？
2025-2-2 上午06:29:30	湖南	湘西自治州	吉首市	吉首市第一中学	11	110	1.5	16	有				
2025-2-2 上午07:39:12	湖南	湘西自治州	吉首市	吉首市第一中学	11	110	1.5	16	有				坐标湖南湘西州吉首市一中（望公开）  众所周知，湖南光是长沙四大名校已经要把全省的人卷死了，更何况是在这种教育资源极度不平衡的情况下，身为一个小县城的学生真的不用活了，以下是我对学校的“控诉”：  两眼一睁就是读书，目前高二早六晚十，回寝室和打仗一样，而且到了高三后面时间只会越来越少。从校领导到班主任，没有一个人是确确实实关心学生的精神状态和心理健康的，什么“高考只有一次，生命可以重来”的话语是真的出现在了我们学校。之前曾有学生轻生（包括不限于跳楼割腕和投河之类的）但我个人也庆幸他们没有真正失去生命，可代价是什么？轻则区别对待+强制休学，重则直接退学。至于这些学生为什么会有这样的想法和行为，以及对学生的安抚，校领导以及班主任根本不会在意，只关心负面传闻有损学校形象。学校说是开设心理课程，但一学期能不能上到一节都是未知数，心理咨询室常年不会开门，已成摆设，而且如果真的有学生有去咨询的意向，要先向老师报备，往往会被班主任老师打上无形的标签，然后区别对待。  学校实行月假制，一个月最多一天半，节假日是能不放就不放，能少放就绝不多放（中秋节放半天回去吃中饭我该庆幸吗……）甚至我现在写下这“控诉状”时，还面临着即将返校的焦虑。还有这个学校的选址简直反人类，位于郊区，真的离市区特别远，至少对我来说是的，每次晚自习返校路上真的很想死。寒暑假对半砍都算不上，只会更少。学生也尝试过反抗，后果也无非是集体镇压和个人的停课（因为学校已经买通湘西州教体局了，举报也没有用），甚至过年放个摔炮都会被赶回家，完全是管理层滥用职权。  校领导层层腐败贪污（可能在中国也正常）明明身为公办学校，但是学杂费是一点没少收，动辄一两千，对于少数民族地区人们真的算一笔大数目。而且严重怀疑某些老师以打压学生为乐，表面说着为了你好，本质就是借老师的身份践踏学生尊严，不顾学生的想法，物化学生。还有某些要求早上提前半小时来，晚上推迟半小时走的班主任也绝对不是个例。甚至还以学生12点后搬桌子去宿管室学习为榜样和例子让我们学习（我只觉得很可怜……）  我是少数民族，说是可以享受高考加分政策，但是我感觉我们学校已经烂透了，看不到一点希望。初中因为个人心理问题对学校就很恐惧，上了高中病情加重了不止一点半点，感觉上学的每一天像奴才一样活着，迟早有一天我觉得我也会从教学楼跳下去的。学个学不懂，人际关系也好复杂，则很想死。我是个麻木混日子的苦逼高二生，但是当我刷到相关视频，千千万万的高中生和我过着一样的日子，这给了我写下这些文字的勇气，我想不仅为我发声，更是为数个“我们”发声。  没有比较苦难的意思，但是当人们都把焦点聚焦在山河四省的学校上时，不妨看看在教育大省且教育资源落后地区中学的现状，我认为我们学校就是一个典型的例子。学校里老师经常给学生洗脑说：“你们资源不够就要拼时间。”但是最后拼出来的是学生抑郁率和一身的病吗。  所以我再次希望更多人能看到我们的现状，尽管我的发声微不足道，但是我坚信会有改变的一天的。
2025-2-2 下午02:42:15	吉林	四平市	铁东区	四平市第一高级中学	12	75	2	14	2	上午06:30:00	下午09:40:00	800	
2025-2-2 下午07:50:27	吉林	长春市	二道区	长春力旺中学	9	110	6	30	5	上午06:30:00	下午07:10:00	840	举报违规补课 17号开学前还要补课 他们收钱每个老师均摊
2025-2-3 上午01:50:23	江苏	南京市	鼓楼区	南京师范大学附属中学	10	71	8	26	0	上午07:20:00	下午09:30:00	0	非常好的学校，欢迎南京市的同学们报考
2025-2-3 上午06:18:16	江苏	南京市	高淳区	江苏省高淳高级中学	12	98	3.5	8	0	上午06:10:00	下午09:55:00	0	18年的时候是这样，已经7年多了，不知道有没有改变
2025-2-2 下午07:55:36	江苏	南通市	海安县	海安市实验中学	12	98	3	12	0	上午06:30:00	下午10:00:00	250	水泥地上种花…
2025-2-2 下午06:12:10	江苏	苏州市	张家港市	暨阳高级中学	12	93	2	13	0	上午06:25:00	下午10:00:00	0	
2025-2-2 下午04:29:42	江苏	苏州市	太仓市	江苏省太仓高级中学	12	92.5	2.5	16	0	上午06:45:00	下午09:40:00	0	我很辛运就读于一所开明的高中。高一高二学校从没克扣过我们一天假期，而且有完整的双休，到高三才开始克扣。学校每周会安排两节社团课（会克扣几次）、两节体育课、一节信息课、一节音乐/美术课、一节心理/通用技术课、一节文体课（自由活动，可以出去打球闲逛也可以待在教室里自习或看电视），高三没有社团课、信息课、通用技术课和美术课。学校不允许占课。高一高二每天的作业量在2～3个小时，高三在3～4个小时。学校每学期一定组织一次社会实践（春、秋游，可以带手机）。  学校食堂设有小卖部（售卖多种酸奶和牛奶），价格与平价超市内一致或更低，菜品种类丰富，价格合理（甚至蔬菜免费），但是口味一般、食品安全缺乏保障（这应该是各学校普遍存在的问题）。学校允许自带食物，但不允许点外卖（其实给门卫点杯奶茶他就让你拿了）。  学生会设有权益部，权益部收集并定期反馈学生诉求（学生匿名反馈），多数诉求得到解决（如在厕所装镜子、洗手液过稀、菜品价格标注不明确），部分诉求由于缺乏资金和向教育局申请流程过长解决进度缓慢（多数为食堂饭菜、翻修等），少数诉求涉及他人自由被忽略（如举报谈恋爱、同性恋、跨性别者）个别诉求不合理被驳回（要求撤职校长）。学生向权益部反应老师教学问题，学校会安排考察人员听课，情况属实会做出调整。学校直接安排食堂、后勤工作人员与权益部对接。学校从未对权益部施压。  学校各项规定都比较合理，处理遵循大事化小原则，虽然开学生大会时强调严肃处理，实际能不处分就不处分。  我们的年级主任很有趣，会主动和学生打招呼，很少板着脸。在学生大会上发言也力求简短生动，上台总能收获同学们发自内心的掌声。  我们的班主任很好，向他请假几乎都会同意，甚至你直接说晚自习不想上了要回家休息也只会叮嘱你好好休息。每次校考都会一对一与所有人面谈，给每个学生分析问题制定策略，从不放弃任何一个学生。作业来不及甚至可以不写他的作业。  我发誓以上所述句句属实。我不是在反讽，请不要误解我的评价。  我赞成曝光实行611制度的学校，但我更希望像我们学校这样，愿意把枪口抬高一寸的正面案例被展示。最后希望越来越多的学校能像我们学校或更好的学校这样，在如今的教育体制下尽量给予学生自由。  写的很乱，如有用语不当请见谅。
2025-2-3 上午04:07:44	江苏	无锡市	新吴区	江苏省梅村高级中学	12	90	2	12	0	上午06:45:00	下午09:30:00	0	学习衡水模式但不如无锡市一中的垃圾学校,强制同学签署周六周日"自愿补课"协议书,整体氛围十分压抑,房价少,校领导老是板着个脸,还搞一堆形式主义官僚主义的活动,我好希望能够快点逃离这里,到大学去,梅村高中是我这辈子永恒的梦魇,谢谢李老师和项目开发人员
2025-2-3 上午04:16:16	江苏	徐州市	邳州市	邳州市铁富高级中学	12	110	2	11	0	上午05:30:00	下午10:30:00	900	为了自己的升学率，强迫学生学美术等，增加升学率
2025-2-3 下午08:00:38	江苏	南京市	秦淮区	南京市第一中学	12	90	4	14	0	上午07:10:00	下午10:00:00	3800	我喜欢高三五班张峻童
2025-2-4 上午12:20:53	江苏	连云港市	连云区	连云港高级中学	11	86	4	18	0	上午06:25:00	下午09:40:00	0	我们学校已经算是作息非常轻松了，高一入学时每周假期为4小时，每月一次维持两天的月假，后在2024年我市灌云县及赣榆区学校学生跳楼的影响下短暂采取双休制，在后续又被取消，调整至每周六晚休假，周天晚返校。高三学生一般每周原则上无休息时间，但会有月假。寒假一般也会缩短至12天左右，暑假一般在八月中旬左右开始补课，法定节假日及寒暑假休假时间一般与我市其它学校对齐，以至于经常出现再放假或返校前一天至前两天通知。校内平时作息最累的是内高班新疆学生，本地学生休假期间内高班学生仍按照正常作息去上自习课，定期安排出校采购生活物资理发等，暑假学校安排绿皮火车硬座以至乌鲁木齐便学生往返，寒假新疆学生原则上不可返疆，如家长向年级请假通知可以在批假后返疆，民族学生除特殊活动时不准着民族服装，民族节日期间有一节自由活动课。学校高一学生有社团/校本课程，高一高二高三学生每周皆有一节活动课，但实际允许学生活动的班级很少。根据我校部分民族学生反应，我校疑似存在挪用新疆学生部分补助金的现象。 我们学校在连云港算是注重学生健康的学校，但是对教学进度把控仍有很大问题，不考虑本身生源与师资水平缺一味追求与苏南学校进度对齐是不可取的，此提交仅作为存档使用，并且我本人将带领我市自杀学生数仍在上升的学校学生填写表格以便完善数据。
2025-2-4 上午01:26:05	江苏	宿迁市	沭阳县	江苏省沭阳高级中学	11	100	0.5	5	0	上午06:00:00	下午10:00:00	100000	垃圾学校，违规补课，校长15年嫖娼还被抓过真不知道怎么教书育人
2025-2-4 上午01:33:53	江苏	盐城市	阜宁县	阜宁县第一高级中学	12	112	4	14	0	上午06:10:00	下午10:50:00	0	没自杀的，就是有许多和疯了差不多的，过去3年了，但写的全是真的。我也没必要再写假的了，毕竟我已经看到许多被逼疯的了，人的精神状态不正常还是很容易看出来的，至少我当时站在阳台已经觉得阳台下面是解脱，有很大的诱惑力了，如果真要养小孩，请远离苏北吧。这些帮助不了我了，希望能帮帮后面的人吧。
2025-2-4 上午01:38:02	江苏	扬州市	宝应县	江苏省宝应中学	12	96	0.5	4	0	下午02:00:00	下午10:10:00	2000	张广银就是畜生
2025-2-4 上午02:30:13	江苏	淮安市	清江浦区	江苏省清浦中学	12	100	2	8	0	上午06:40:00	下午10:00:00	1000	sb校长
2025-2-4 上午02:31:48	江苏	无锡市	梁溪区	山北中学	9	60	14	10	0	上午06:30:00	下午06:30:00	0	教师全部都是独裁者
2025-2-4 上午02:42:31	江苏	无锡市	锡山区	江苏省怀仁中学	12	94	1	26	0	上午06:30:00	下午09:50:00	0	
2025-2-4 上午03:02:42	江苏	南京市	建邺区	建邺高级中学	10	320	6	20	0	上午06:50:00	下午09:30:00	1200	建高你tm好好看看这sb强基班是邒你能搞的吗，还花钱上，怎么不去抢呢。那讲的又听不懂，就会捞钱了
2025-2-2 下午08:33:00	江苏	淮安市	金湖县	江苏省金湖中学	12	102	2	9	1	上午06:50:00	下午10:00:00	990	校长为了升学率专门开设一个小科班 在我们这种小县城学小科就是混个学历 而且一般家庭根本承受不起学校的小科学习费用。7月考完试第二天上午举行散学仪式 下午放假 第三天上午开始补课 有学生上抖音抱怨 没过几天就有警察到学校找人
2025-2-2 下午04:24:06	江苏	宿迁市	泗阳县	泗阳致远中学	10	100	2	16	1	上午06:25:00	下午09:50:00	1000	关于江苏省宿迁市泗阳致远中学高中部违规补课的事件概要，本人在调查问卷中已悉数提及，故不再过多赘述。下面我要来谈一下该学校违规收费的事。首先，该校是泗阳县最大的私立中学，高中部每年新招收 2000 多名高一学生，在如此大规模下，依旧维持高价学费和各项杂费，且该学校的收费方式别出心裁，它并非像泗阳县其他学校一样一次性把费用收齐，而是以一种“接二连三”的方式，今天收教辅资料费、明天收托管费，惹得学生和家长们抱怨不已。再说个有意思的事，我们之前临近期末考试，每晚延迟放学 20 分钟（从 21:30 延迟到 21:50）（划重点），学校仅仅借口“延时托管”，就收我们学生近千元，并且这个钱是在高一上学期快结束时收的，学校并未告知我们该笔费用的时间单位（比如该笔费用管用一学期还是一年，原谅我找不到更好的词来表述），我们凭借自己的常识，判断这笔钱肯定有问题。与之类似的我们学校还有电子班牌使用费等，不过多赘述。以上是我要说的全部内容，感谢博主给的平台。
2025-2-3 上午04:21:22	江苏	宿迁市	沭阳县	塘沟高级中学	8	320	0.5	25	1	上午06:25:00	上午10:15:00	790	胡放羊赤石去吧
2025-2-3 下午03:16:27	江苏	徐州市	铜山区	江苏省郑集高级中学	12	118	1	5	1	上午05:45:00	下午10:30:00	2100	
2025-2-3 下午05:05:57	江苏	常州市	溧阳市	溧阳市高级中学	12	105	4	7	1	上午06:50:00	下午09:30:00	4000	
2025-2-3 下午05:15:27	江苏	宿迁市	宿城区	青华中学	12	100	2	11	1	上午06:30:00	上午10:00:00	2000	这学校收费奇葩，补完才收。
2025-2-3 下午06:04:43	江苏	淮安市	清江浦区	江苏省清江中学	12	110	1.5	4	1	上午06:10:00	下午11:40:00	3000	清江中学乔中云副校长有毛病
2025-2-3 上午10:43:46	江苏	宿迁市	泗阳县	江苏省泗阳中学	12	110	0.5	0	2	上午06:40:00	下午10:40:00	2000	宁可拿学生的钱修建花园，也不愿改造宿舍和开空调，部分老师（肖研）欺压学生逼迫学生提前单招提高学校升本率。
2025-2-3 下午11:17:30	江苏	苏州市	工业园区	西安交通大学苏州附属中学	12	85	4	14	2	上午06:55:00	下午09:40:00	0	
2025-2-4 上午02:51:04	江苏	淮安市	淮安区	江苏省淮安中学	11	117	2	17	2	上午06:30:00	下午10:10:00	0	
2025-2-3 上午04:28:22	江苏	南京市	江宁区	南京市竹山中学	9	85	2	7	3	上午05:30:00	上午09:30:00	1000	压力很大，许多人都得抑郁退学了，很多人还有自残行为
2025-2-3 上午12:45:02	江苏	镇江市	丹阳市	丹阳市马相伯高级中学	10	85	4	19	3	上午06:50:00	下午09:30:00	1000	学校放假前的通知写的是13号，但是在5号开始会组织名义上的自愿补课，实际和正常上学没有区别，基本没有人不去
2025-2-4 上午02:27:29	江苏	泰州市	海陵区	泰州市第二中学附属初中	9	87	4	20	3	上午06:20:00	上午09:00:00	0	补课、校长脑残、形式主义
2025-2-4 上午03:29:35	江苏	泰州市	海陵区	泰州市中学附属初中	9	87	4	20	3	上午06:30:00	上午09:00:00	0	
2025-2-2 下午09:58:38	江苏	苏州市	昆山	昆山文峰高级中学	12	65	2	7	10	上午06:00:00	下午11:30:00	3000	学生都不好好学 老师也不认真 开学速度第一名
2025-2-2 上午07:09:22	江苏	镇江市	润州区	江苏省镇江中学	11	87	4	11	大部分都有心理压力 轻生的也有				
2025-2-2 上午09:01:24	江苏	南京市	六合区	南京市科利华中学棠城分校	9	65	8	26	心理压力过大数不清 轻生1个	上午07:00:00	上午08:30:00	0	匿名 可以的
2025-2-2 下午06:48:36	江西	萍乡市	上栗县	上栗中学	12	108.5	2	9	0	上午06:27:00	下午10:20:00	224	
2025-2-2 下午11:45:09	江西	新余市	渝水区	新余市第一中学	12	90	4	6	0	上午07:20:00	下午10:30:00	0	每学期补课费1600
2025-2-3 上午12:55:10	江西	宜春市	樟树市	江西省樟树市滨江中学	12	165	1.5	7	0	上午06:25:00	下午10:40:00	440	
2025-2-3 下午02:20:33	江西	宜春市	樟树市	江西省樟树中学	12	113	0.5	3.5	0	上午06:20:00	下午10:30:00	440	学校就在市中心，走读转全封闭住宿，学时又长假又不给放，室内举报还秒追查手机号，省厅举报也没用，年级主任素质有待降低说话又好听，超喜欢待在里面的🥰
2025-2-3 下午03:14:58	江西	宜春市	万载县万载中学	万载县万载中学	12	107	2	6	0	上午06:00:00	下午11:00:00	700	
2025-2-3 下午06:26:42	江西	赣州市	蓉江新区	赣州市第十五中学	11	90	2	21	0	上午07:10:00	下午09:45:00	0	周六补课一整天，下午五点才放学，周日下午两点就要来周测。每周就放半天假。 
2025-2-3 下午11:26:47	江西	九江市	修水县	修水县南圳高级中学	12	120	2	7	0	上午06:20:00	下午11:30:00	700	垃圾学校、成绩最差时间最长、食堂最难吃、各种乱七八糟的费用最多！！！
2025-2-4 上午01:17:05	江西	南昌市	西湖区	南昌立德朝阳中学	13	92	3	7	0	上午07:10:00	上午10:30:00	0	24年高考生，已经去大学了。但是我在那个学校吃了很久的抗抑郁药，老师整天pua人
2025-2-3 上午12:21:03	江西	赣州市	全南县	江西省全南中学	15	90	2	10	1	上午06:50:00	下午10:10:00	300	
2025-2-4 上午02:30:43	江西	抚州市	临川区	临川第一中学	12	84	1	7	1	上午07:00:00	下午10:00:00	0	
2025-2-2 下午09:20:56	江西	萍乡市	湘东区	萍乡市湘东中学	12	119	1	21	2	上午05:50:00	下午10:50:00	200	我是高三的一名学生,高一高二已经很累了,高三几乎没有休息时间,学校和集中营没有区别!学校男生寝室8个人,女生寝室6个人,男生是公共澡堂公共厕所,还是区别对待
2025-2-2 下午09:14:05	江西	萍乡市	湘东区	萍乡市湘东中学	11	96	4	21	2	上午05:50:00	下午09:50:00	200	学生宿舍超过6楼但没装电梯,男生是公共厕所公共澡堂,学生群里有人键政被网暴,为跳楼学生发声被网暴,谴责师生恋被警察叫去喝茶,抖音发布学生跳楼信息有警察上门,学校搞周天晚自习和周六的补课,一个月收费200元,寒假是从1月23日放到2月12日,延迟放假但没提前开学,高三一个月放一天假
2025-2-2 下午08:41:03	江西	萍乡市	湘东区	萍乡市湘东中学	11	96	4	21	2	上午05:50:00	上午09:50:00	0	学校有学生跳楼,发到抖音上被警察上门,有学生和老师谈恋爱,学生们在群里聊八卦被请去警局喝茶
2025-2-3 下午07:17:48	江西	宜春市	袁州区	宜春中学	12	80	1	10	6	上午06:50:00	下午10:30:00	200	
2025-2-2 下午11:23:52	江西	鹰潭市	贵溪市	贵溪市实验中学	12	80	1	12	10	上午06:00:00	下午10:00:00	890	
2025-2-2 上午07:34:37	江西	景德镇市	珠山区	景德镇二中	8	61	4	31	有				
2025-2-2 上午07:52:48	江西	景德镇市	珠山区	景德镇二中	8	62	4	31	有				饶华见钱眼开的婊子，给钱多是金主给钱少还要嘲讽别人塞钱，还有这个光头觉得学生欺负他，就说自己上面有人看谁进监狱，就是想说自己有多贪有多腐败呗。还有教育厅检查违规资料，随便走两下翻几下抽屉糊弄谁呢。学校补课大多数是老师为难家长让家长同意补课。有些家长恶不恶心给全部老师都塞钱了有这钱你还不如给你儿子卖个高中上
2025-2-3 上午03:43:24	辽宁	本溪市	本溪	本溪市第三中学	8	50	8	35	0	上午07:10:00	下午05:50:00	1000	傻逼老师王建军 包庇女畜生 我被三个女初生霸凌 朝我吐口水 踩我衣服 倒我书包进垃圾桶 放学以后不让我走 扇我脸 逼我下跪磕头叫奶奶 在全班面前扒我裤子 捏我鸡巴 我告老师 她们反咬一口说我给她们看鸡巴 傻逼老师踢我肚子 打我脸 骂我活该死全家 希望傻逼老师早点去死 还有三个女畜生早点被操裂臭逼
2025-2-3 上午03:16:45	辽宁	某城市	某区	某公立学校	10	55	8	40	0	上午06:40:00	下午05:30:00	0	据我了解，我所在的城市的这些公立高中，在我上学的时候和表单中很多学校比是非常良心的，只有高三强制晚自习且到8点半，住校是自愿，放学是9点四十，且住校不强制，而且学校希望别住校希望赶紧走读，高一高二走读生五点半就可以放学回家，部分学校是六点放学（上学时间也不一样，但整体在校时间差不多），周末正常放假，且寒暑假也正常各大约40天，高三也是放一个半月的寒假。 我就奇怪了，为什么有些学生明明他们学校我看数据挺良心的还往上填，有些前后数据对不上怎么也往上填？（每周学习时间、放假天数、和上学放学时间数据对不上）有个周均30小时39小时的那种是搞笑吗？因为和后面上学放学的时间都对不上。到底是填错了？还是说是自己啥也不会纯废物只想义愤填膺？能不能数据填的准确一点？数据都填不准让我们怎么相信这个表单？ 我认为因为国内教育内卷，能够满足周末正常放假，每日呆在学校不超过15小时（尤其是不超过14小时的）已经算是很良心的，因为不同学校学生水平不一样，能够保证睡眠8小时，抛开通勤时间，剩下时间在学校，是很正常的，在学校也可以摸鱼也不是所有时间都在学习。真正需要成为「耻辱」的是给学生8小时睡眠都不足的学校，是周末不放假，寒暑假不给放强制补课的学校，而不是给你充足睡眠，放假也给你放，只是在校时间略长（但你可以摸鱼啊）的学校，学校也是需要升学率的，有些是教育局也出手干预说必须学多长时间或者不能学多长时间的。而且真的所有学校都能素质教育？有那么多学生能够真的素质教育就能提高成绩吗？素质教育家长认吗？社会共识在这里啊，这个观念更改可能还得几十年呢。 如果你上的高中是考上来的，那么好的生源的学校哪怕每天就12小时上学时间（周末放假），仍然不缺清华北大的学生，差的生源的学校哪怕每天强制你学15、16小时，仍然不可能比得过生源好的学校，这个表单也不填这个学校在整个市大概生源排第几，升学率也不知道有多少，和谈比较，和谈「耻辱」，废物生源的学校，你强制学习还能学好到哪去？好生源的学校，强制学习过头了反而可能降低升学率。 另外从表单也可以看出来，大城市反而少有耻辱学校，小城市小县城反而耻辱学校多。这也是城市的原因吧？大城市有好的生源，有好的素质教育，家长思想老旧的人也占比少。小城市小县城和各种农村，一个个家长保守、学校保守、教育局保守，学校为了满足上面的任务，只想升学率高一点，不在乎学生健康，这也是这群人思想不如大城市人的思想的原因，当然也有政策的原因。 我其实还想说很多，但我不知道这个能不能过审，打字这么多到时候不给展示我白打了，总之 目前我就打住不说了。 
2025-2-2 下午10:12:26	辽宁	沈阳市	和平区	沈阳铁路实验中学	3	90	4	31	0	上午06:55:00	上午10:00:00	2000	说实话我成绩不差  但是我不怎么听，因为以后想考的学校十有八九能考上，但是校内的关系，家长老师不停的上压力让我逐渐厌恶待在学校，我们班的许多同学都不会认真听课，我们经常反思自己待在学校的意义，我们本该有更好的一段青年生活
2025-2-3 上午02:06:08	辽宁	沈阳市	和平区	沈阳铁路实验中学	11	87	4	45	0	上午06:50:00	下午09:30:00	0	
2025-2-3 上午03:59:17	辽宁	营口市	鲅鱼圈区	营口市开发区第一高级中学	12	105	4	30	0	上午06:50:00	下午10:00:00	0	
2025-2-3 下午04:00:21	辽宁	辽阳市	灯塔市	灯塔市第一高级中学	12	90	3	20	0	上午06:20:00	下午10:50:00	1000	
2025-2-3 下午05:21:12	辽宁	丹东市	振兴区	丹东市第二中学	11	95	4	24	0	上午06:10:00	下午10:10:00	1100	
2025-2-3 下午11:55:00	辽宁	沈阳市	和平区	沈阳铁路实验中学	11	90	4	15	0	上午06:30:00	下午09:30:00	0	老师上课不讲知识点内容，引导你跟老师补课。老师上课名言：沈阳铁路实验中学班主任物理老师曹宇：我给你们认真上课2700，不认真上也是2700，为什么要认真给你们上课呢?我出去给20中学文科生补课比你们强。该老师上课讲一半课就生气不上课，撂挑子。还有沈阳铁路实验中学自从从沈阳铁路局分离出来(07年)，听说学校办学经费不足，上级拨的也不够，学校里面老师和学生抱怨一个600分的也出不了，能出一个600分的好学生以及不错了。省级重点(沈阳几乎大部分高中是)，结果学生就400-500多分。
2025-2-3 上午03:07:55	辽宁	大连市	中山区	大连市第十六中学	12	80	4	0	1	上午06:50:00	上午09:30:00	0	纪念我没能毕业的学校 
2025-2-3 上午03:31:30	辽宁	阜新市	海州区	阜新实验中学	12	100	2	10	1	上午07:00:00	上午12:00:00	1000	
2025-2-3 上午03:20:19	辽宁	营口市	鲅鱼圈区	营口市上善高级中学	12	96	4	9	2	上午06:00:00	下午10:00:00	1200	一个由补课机构演变而来的私立高中，从校长到老师都是从一家补课机构过来的。不看老师教学水平，就是一味地回聘退休教师和从其他补课机构挖人，甚至为了省钱还会把一些毕业生拉回来当老师。德育处（一些地区称作政教处）经常体罚学生，甚至可以越过校长直接给予劝退处分，并且其中很多人同时兼任体育老师但是没有教师资格证。宿舍晚上不许关门，方便寝室管理人员搜查，并且德育处经常半夜11点多突击查寝，严重扰乱休息。两周休两天假（周五半天+周六一天+周末半天），疫情期间瞒报确诊病例，未经教育局同意擅自封校，后来被举报才把学生送回家上网课。师生关系及其紧张，甚至发生过肢体冲突，我本人就看过三次警方进校园介入。只要给钱就能上，甚至中考只有300分（满分910）。推崇衡水模式，鼓励跑操，每天早上有意义不明的晨测，单周不放假的时候还有周考（高一高二还有象征性的社团活动）。甚至鼓励5点起床去教室自习。不少学生因为有病无法请假，命令规定发烧38度以上才可以请假，有着严格的请假审批制度。凡是在这里的学生都称之为地狱，但是由于管的严，也是很多家长心目中的最爱。伙食费是本地公立高中的三倍，声称请了国家级营养师，但是伙食依旧一言难尽。每名新生入学都会发一本《规章手册》，里面规定了校园生活的方方面面，其中还有一个量化考核制度，凡是违规都会扣分，扣分满10分，双周放假的时候在学校留校到5点半，扣分满20分，手机上交德育处一个月。扣分满100则直接开除。发生严重违纪事件还会全校广播通报，最狠的一个哥们直接被罚了留校15次。寝室也有类似的量化考核制度。能在这个学校出成绩的90%以上都是复读生。我想不出这里有什么值得留恋的地方，这里就是一座军事和管理的监狱，在这里的人没有一个是正常的，包括我。
2025-2-3 下午11:31:22	辽宁	大连市	沙河口区	大连市第十一中学	12	100	2	5	2	上午06:30:00	下午10:00:00	0	
2025-2-4 上午03:10:39	辽宁	铁岭市	铁岭县	铁岭县高级中学	12	87	2	12	2	上午07:20:00	下午10:10:00	1200	
2025-2-4 上午03:29:11	辽宁	盘锦市	兴隆台区	辽河油田第一高级中学	12	105	1.5	7	3	上午06:00:00	上午11:30:00	0	
2025-2-2 下午01:06:15	内蒙古	赤峰市	松山区	赤峰市松山区第四中学（山西营中学）	9	50	8	45	0	上午07:20:00	下午06:25:00	0	学校提前一周开学，只因 3 月 1 日不是周一
2025-2-3 上午02:21:10	内蒙古	通辽市	科尔沁区	通辽第五中学	10	85	4	25	0	上午06:00:00	上午10:20:00	0	
2025-2-2 下午05:44:21	内蒙古	乌兰察布	集宁	集宁一中	11	97.2	4	14	0	上午05:30:00	下午10:00:00	800	我已经毕业了，但我要说的是集宁一中的情况，集宁一中在2013年分为霸王河校区、榆树湾校区，榆树湾校区在2013年下半年开始军事化管理，我个人认为，军事化管理演变的高潮是在2013-2015年，同时期我经常听到xx学校也和一中一样开始军事化管理了（同时配备了所谓的教官，说白了就是社会流氓，专管学生体罚学生），似乎军事化管理才是对的，今天的611学制一定有当年军事化管理打下的基础。
2025-2-3 上午02:35:19	内蒙古	兴安盟	乌兰浩特市	乌兰浩特一中	11	86.6	4	29	0	上午06:10:00	上午10:40:00	0	
2025-2-3 下午06:11:26	内蒙古	巴彦淖尔市	杭锦后旗	奋斗中学	11	81	2	11	0	上午06:50:00	下午10:20:00	700	
2025-2-4 上午02:43:06	内蒙古	包头市	青山区	包头市第九十三中学	12	66	4	7	0	上午11:30:00	下午10:00:00	0	
2025-2-2 下午12:05:29	内蒙古	赤峰市	松山区	赤峰红旗中学	12	68	3.6	7	1	上午06:15:00	下午11:00:00	0	
2025-2-3 下午03:51:38	内蒙古	鄂尔多斯市	伊金霍洛旗	鄂尔多斯市第一中学南校区	12	95	1.5	10	1	上午06:40:00	下午10:30:00	1000	受不了一点，在别的学校放假的时候，我们上课，举报没有用，会被压下去然后不了了之，在学校度日如年，感觉天天像坐牢一样，受不了了
2025-2-3 下午06:16:45	内蒙古	呼和浩特市	赛罕区	呼和浩特市第三十中学（内蒙古师范大学附属第二学校）	11	96	4	45	1	上午06:00:00	上午10:30:00	0	
2025-2-2 上午07:50:53	内蒙古	鄂尔多斯市	东胜区	鄂尔多斯市第二中学	12		0.5	7	无				学校很多男代课老师对我（男）的行为举止嘲笑讽刺（并无任何哗众取宠的行为），并带领全班对我进行羞辱，引导其他学生或亲口对我说出类似：不男不女、娘炮、二椅子等侮辱性词汇，且绝非开玩笑，我真切地感受到了其中无限的恶意
2025-2-2 上午05:16:31	内蒙古	鄂尔多斯	东胜区	鄂尔多斯市衡水实验中学	10		1	34	有				
2025-2-3 上午03:16:11	宁夏	固原市	彭阳县	彭阳县高级中学	11	63	2	15	0	上午06:55:00	下午10:20:00	250	学校里应该有保障学生上厕所的权利，学生不能上厕所，是对人权的压迫！ 凭什么！学校上厕所要登记次数，每人每天白天只能小便5次大便1次，晚上小便1次，有的学生受不了了甚至用塑料袋解决！ 
